Year,Season,Indicator,Value,stat_area,Value_var
2001,winter,oisst,0.21272075873066262,512,0.315678442728166
2001,winter,oisst,0.35728425129696173,513,0.17964513359301382
2002,winter,oisst,0.7208469741364829,511,0.3878192739548429
2002,winter,oisst,0.9035903119234647,512,0.27921528878924856
2002,winter,oisst,0.9435018316463187,513,0.12485680745211547
2003,winter,oisst,-0.0318795018725925,511,0.6250819572611673
2003,winter,oisst,-0.16266569768748998,512,0.6132927919761304
2003,winter,oisst,0.07940462043991794,513,0.2922889742851171
2004,winter,oisst,-0.09243848398390808,511,0.1477402466713195
2004,winter,oisst,-0.44998743342715364,512,0.4858698439793508
2004,winter,oisst,-0.4103945517714644,513,0.22988124387293601
2005,winter,oisst,-0.6980760644643734,511,0.19742769474468758
2005,winter,oisst,-0.8290183431284439,512,0.21881861638091432
2005,winter,oisst,-0.5340444331367811,513,0.15525731041861163
2006,winter,oisst,0.38112904271508896,511,0.2902823305577217
2006,winter,oisst,0.2621024034449444,512,0.33382733762273675
2006,winter,oisst,0.13551110890176563,513,0.24529780912981686
2007,winter,oisst,1.5516418320500953,511,0.2741258615057247
2007,winter,oisst,1.3950830639848386,512,0.4451329718321923
2007,winter,oisst,1.5682564519069813,513,0.28624221322530335
2008,winter,oisst,-0.4527258879031958,511,0.18951898226792324
2008,winter,oisst,-0.6627346845374857,512,0.2554115106140282
2008,winter,oisst,-0.7320703619565719,513,0.13923186264357726
2009,winter,oisst,-0.18658889786809937,511,0.11653109184632308
2009,winter,oisst,-0.4750328424472164,512,0.3000365066618544
2009,winter,oisst,-0.4681323998504215,513,0.09109060626429699
2010,winter,oisst,0.3880093835357927,511,0.3185205282277534
2010,winter,oisst,0.13879805826334563,512,0.35580606684935473
2010,winter,oisst,0.33861295216613346,513,0.2627586993181755
2011,winter,oisst,0.6695051054669242,511,0.10967777448110341
2011,winter,oisst,0.3431120667480616,512,0.2210862433350939
2011,winter,oisst,0.4026638776063919,513,0.16506465122068634
2012,winter,oisst,1.465608825949623,511,0.1297795123670831
2012,winter,oisst,1.2104329750746332,512,0.1438620668821656
2012,winter,oisst,1.4103242687253288,513,0.0611653867387224
2013,winter,oisst,1.9923939603006737,511,0.20529127825602292
2013,winter,oisst,1.5859960954546353,512,0.4790784391308807
2013,winter,oisst,2.025608287917243,513,0.17335042408567142
2014,winter,oisst,0.2165820409090091,511,0.17378643442663505
2014,winter,oisst,-0.012182610046460434,512,0.42583662673417827
2014,winter,oisst,-0.04542870190408495,513,0.20671490625061725
2015,winter,oisst,1.4249666271046695,511,0.7448339802973785
2015,winter,oisst,0.8935613316038381,512,1.1731686717478989
2015,winter,oisst,0.8477703522200938,513,0.48352624262356164
2016,winter,oisst,1.554442292235206,511,0.1955465923842175
2016,winter,oisst,1.3587798487325633,512,0.21373656979114636
2016,winter,oisst,1.4483645676256536,513,0.11647360296636489
2017,winter,oisst,1.4433939683131682,511,0.3552593179170258
2017,winter,oisst,1.2850830633283237,512,0.3784967461834904
2017,winter,oisst,1.6411221786781593,513,0.23227893344370742
2018,winter,oisst,2.143898228294829,511,0.5449499185274027
2018,winter,oisst,1.2543101186337677,512,1.2993516414964619
2018,winter,oisst,0.5150851721013033,513,0.2849383534704841
2019,winter,oisst,-0.2325974413472363,511,0.3720516564618909
2019,winter,oisst,-0.29384927265885946,512,0.4359138327800239
2019,winter,oisst,0.014872214970765291,513,0.23568358621745197
2020,winter,oisst,1.0651868945611618,511,0.08094733243116803
2020,winter,oisst,0.8289817379366967,512,0.1256059427773135
2020,winter,oisst,0.5179811530215765,513,0.1879034146575768
2021,winter,oisst,1.6433754440572659,511,0.3302808408822685
2021,winter,oisst,0.9273688468826101,512,0.10820824499304656
2021,winter,oisst,0.22507794633988412,513,0.153657140831605
1980,all,fvcom_sst,0.17641579593904894,511,4.141446720910088
1980,all,fvcom_sst,0.17261223639255474,512,3.7409396010466076
1980,all,fvcom_sst,-0.905724573424013,513,4.559346915857724
1981,all,fvcom_sst,0.11702999519110588,511,3.096821321076732
1981,all,fvcom_sst,-0.04677380501343962,512,3.1924782269784955
1981,all,fvcom_sst,-0.5846605608083959,513,3.91502018401351
1982,all,fvcom_sst,-0.1617975636790983,511,0.4779416477811269
1982,all,fvcom_sst,-0.13180403352751635,512,0.8316620853606546
1982,all,fvcom_sst,-0.48875685770195715,513,0.7636663035573982
1983,all,fvcom_sst,-0.018121002839597822,511,0.5461705969297431
1983,all,fvcom_sst,0.04071907624155191,512,1.0365573450774004
1983,all,fvcom_sst,-0.2669256002497255,513,0.9326480058230501
1984,all,fvcom_sst,-0.07486860972778896,511,0.48656784487053034
1984,all,fvcom_sst,-0.02741710035672098,512,0.8991560329398227
1984,all,fvcom_sst,-0.3335020591113407,513,0.795849093539953
1985,all,fvcom_sst,-0.3020050356896112,511,0.6105112810799097
1985,all,fvcom_sst,-0.19595378607805616,512,0.8385533318132846
1985,all,fvcom_sst,-0.4906732950542384,513,0.9855310773794984
1986,all,fvcom_sst,-0.28473635849836826,511,0.613669438359112
1986,all,fvcom_sst,-0.33497426306123285,512,0.7785013232028501
1986,all,fvcom_sst,-0.5805543097261937,513,0.7336362420843261
1987,all,fvcom_sst,-1.0200844229257209,511,0.4572628327511648
1987,all,fvcom_sst,-0.8549664268619528,512,0.5545585413796731
1987,all,fvcom_sst,-0.8542104092942119,513,0.5198079563670476
1988,all,fvcom_sst,-0.9647127217169842,511,0.49210604500103655
1988,all,fvcom_sst,-0.8623071251362486,512,0.5714712542747322
1988,all,fvcom_sst,-0.8929609636799655,513,0.3941803730663447
1989,all,fvcom_sst,-0.7636734085038258,511,0.6846325686685654
1989,all,fvcom_sst,-0.7011871181944419,512,0.7497661249574123
1989,all,fvcom_sst,-0.6850194737882657,513,0.6681575634872495
1990,all,fvcom_sst,-0.36807573516126835,511,0.99756233187359
1990,all,fvcom_sst,-0.40807779208774236,512,0.8913036137250792
1990,all,fvcom_sst,-0.5621210576212833,513,0.6050280870777327
1991,all,fvcom_sst,-0.39222830951492327,511,0.5535136947922209
1991,all,fvcom_sst,-0.3496119188610181,512,0.5838400191312988
1991,all,fvcom_sst,-0.24693547682872005,513,0.669573784847857
1992,all,fvcom_sst,-1.1918953559039331,511,0.3805648312767089
1992,all,fvcom_sst,-1.1818440800982892,512,0.42564743230967317
1992,all,fvcom_sst,-1.1584336233899386,513,0.5105050695626926
1993,all,fvcom_sst,-0.954988067077939,511,0.4802226779085184
1993,all,fvcom_sst,-0.9013394559790686,512,0.545798853449152
1993,all,fvcom_sst,-0.9503352032874006,513,0.42563768925832435
1994,all,fvcom_sst,0.18797684567025413,511,0.9330727498472563
1994,all,fvcom_sst,0.04757619265023501,512,0.7898606819927538
1994,all,fvcom_sst,-0.37550595358726424,513,0.7609848310292288
1995,all,fvcom_sst,-0.4149113439915777,511,0.5055411764705515
1995,all,fvcom_sst,-0.41344538934007546,512,0.5206643852907027
1995,all,fvcom_sst,-0.25213343074438643,513,0.5210087778319916
1996,all,fvcom_sst,-0.746686529649717,511,0.5272960500337978
1996,all,fvcom_sst,-0.7960999047797713,512,0.5800872146380303
1996,all,fvcom_sst,-0.7341858375435242,513,0.8491585842289341
1997,all,fvcom_sst,-0.5204016486872085,511,0.4098787594391225
1997,all,fvcom_sst,-0.536941961978976,512,0.46684559313075835
1997,all,fvcom_sst,-0.4874778689893823,513,0.47880827815740806
1998,all,fvcom_sst,-0.673299562404246,511,0.8721556584012863
1998,all,fvcom_sst,-0.5445920807511959,512,0.7813641403596049
1998,all,fvcom_sst,-0.4312810866662554,513,0.5167092213930015
1999,all,fvcom_sst,0.38359161455713836,511,0.8238622390914516
1999,all,fvcom_sst,0.35809189964512894,512,0.8235501887469854
1999,all,fvcom_sst,0.1903027551472133,513,0.732304849400181
2000,all,fvcom_sst,0.59433517961463,511,0.5283366409352903
2000,all,fvcom_sst,0.5300681574123133,512,0.6349496894122101
2000,all,fvcom_sst,0.03148042891162779,513,0.5015110769490619
2001,all,fvcom_sst,-0.3821688957839312,511,0.4932059486464087
2001,all,fvcom_sst,-0.27251747511626,512,0.48713135094967625
2001,all,fvcom_sst,-0.13257495498494082,513,0.4965704076963232
2002,all,fvcom_sst,0.21722336137014536,511,0.4967211482295588
2002,all,fvcom_sst,0.27842108845845454,512,0.5158829137345988
2002,all,fvcom_sst,0.28228940892447707,513,0.46107653152708006
2003,all,fvcom_sst,-0.5752220518177116,511,0.43602312931653336
2003,all,fvcom_sst,-0.6171074180569236,512,0.44162605930245663
2003,all,fvcom_sst,-0.6908650838869747,513,0.4304378530237758
2004,all,fvcom_sst,-1.1068708272054861,511,0.3917142859237225
2004,all,fvcom_sst,-1.0194131092432146,512,0.441624838146189
2004,all,fvcom_sst,-0.8778916606046536,513,0.4800982140215147
2005,all,fvcom_sst,-0.5415789625445301,511,0.4419979998630013
2005,all,fvcom_sst,-0.5697634256072253,512,0.5180909596522362
2005,all,fvcom_sst,-0.5022365742709151,513,0.5577786022999853
2006,all,fvcom_sst,-0.5701325238099798,511,0.42729145792037987
2006,all,fvcom_sst,-0.5947885297561313,512,0.4530134637907415
2006,all,fvcom_sst,-0.7769052425538336,513,0.3217323914966957
2007,all,fvcom_sst,-1.4177431165841128,511,0.9816733137211738
2007,all,fvcom_sst,-1.31537745998207,512,0.9116117439620951
2007,all,fvcom_sst,-1.0217338747723952,513,0.9554692768783094
2008,all,fvcom_sst,-0.28236410914369825,511,0.4702942418323416
2008,all,fvcom_sst,-0.24845428333499342,512,0.9190660986961736
2008,all,fvcom_sst,0.013006866363549712,513,1.0048745797274317
2009,all,fvcom_sst,-0.07604642303817374,511,0.5354535680172344
2009,all,fvcom_sst,-0.2405187946462511,512,0.8364641873919243
2009,all,fvcom_sst,0.049868035170733356,513,1.0976718701845714
2010,all,fvcom_sst,0.7916305931685508,511,0.7008772922361217
2010,all,fvcom_sst,0.8293045649370531,512,0.869134126069445
2010,all,fvcom_sst,0.9315646047326814,513,0.9342459584188426
2011,all,fvcom_sst,0.5940104070485408,511,0.5965887741426678
2011,all,fvcom_sst,0.6045317811120785,512,0.6925229184205138
2011,all,fvcom_sst,0.5741271873147819,513,0.5443996077667097
2012,all,fvcom_sst,2.020148879701683,511,0.8897972689816253
2012,all,fvcom_sst,1.8822890608020544,512,0.8902863810576659
2012,all,fvcom_sst,1.8664099738200386,513,0.619279275102017
2013,all,fvcom_sst,0.9360324083666067,511,0.9460652078231151
2013,all,fvcom_sst,1.0152384202668787,512,1.0967459416656344
2013,all,fvcom_sst,0.9121164946492544,513,1.0945932613603566
2014,all,fvcom_sst,0.4247177895468703,511,0.9217488476030569
2014,all,fvcom_sst,0.9073092347402284,512,2.0385181445005625
2014,all,fvcom_sst,0.8464457015586992,513,1.1425887246669146
2015,all,fvcom_sst,0.4466951565445334,511,1.5728285356147658
2015,all,fvcom_sst,0.3527932742939825,512,3.309211844242201
2015,all,fvcom_sst,0.3118758493685771,513,1.4168939085477263
2016,all,fvcom_sst,1.2446400847152825,511,1.015295210776136
2016,all,fvcom_sst,1.1569371894379994,512,1.5167234720901421
2016,all,fvcom_sst,1.1437961994568282,513,1.2140133991815147
2017,all,fvcom_sst,1.0695088884125243,511,1.1623744454986553
2017,all,fvcom_sst,0.765732510078312,512,1.0422962645794445
2017,all,fvcom_sst,0.683702663760334,513,1.4662999220250934
2018,all,fvcom_sst,1.0189999164789372,511,1.487396528949972
2018,all,fvcom_sst,0.911685555171262,512,1.5528522795108728
2018,all,fvcom_sst,0.8519227817764087,513,1.2136203949175774
2019,all,fvcom_sst,0.1794828669919199,511,0.889647686912401
2019,all,fvcom_sst,0.19852403837489174,512,0.8285166284216838
2019,all,fvcom_sst,0.255012564380903,513,0.6692543929785345
2020,all,fvcom_sst,0.010616756049986766,511,2.8157210505524595
2020,all,fvcom_sst,0.16837968676397522,512,3.77634676294682
2020,all,fvcom_sst,0.1872099506287754,513,5.762234732860807
1980,all,fvcom_bt,-0.03347241209790132,511,5.731559055345278
1980,all,fvcom_bt,0.02646061925706869,512,6.46567529020025
